Category,Number of Vulnerabilities
A02:2021 Falhas Criptográficas e A07:2021 Falha de Identificação e Autenticação,98
A02:2021 Falhas Criptográficas,3
A07:2021 Falha de Identificação e Autenticação,4
A05:2021 Configuração Insegura,4
A06:2021 Componente Desatualizado e Vulnerável,2
